generated_scenario;speed (km/s);composition;distance (km);weight (g);angle (degrees)
1841;10;STONE;100000000;30000;75
1842;10;STONE;100000000;30000;90
1843;10;STONE;100000000;40000;61
1844;10;STONE;100000000;40000;75
1845;10;STONE;100000000;40000;90
1846;10;STONE;200000000;20001;61
1847;10;STONE;200000000;20001;75
1848;10;STONE;200000000;20001;90
1849;10;STONE;200000000;30000;61
1850;10;STONE;200000000;30000;75
1851;10;STONE;200000000;30000;90
1852;10;STONE;200000000;40000;61
1853;10;STONE;200000000;40000;75
1854;10;STONE;200000000;40000;90
1855;10;STONE;300000000;20001;61
1856;10;STONE;300000000;20001;75
1857;10;STONE;300000000;20001;90
1858;10;STONE;300000000;30000;61
1859;10;STONE;300000000;30000;75
1860;10;STONE;300000000;30000;90
1861;10;STONE;300000000;40000;61
1862;10;STONE;300000000;40000;75
1863;10;STONE;300000000;40000;90
1864;10;STONE;100000000;40001;1
1865;10;STONE;100000000;40001;15
1866;10;STONE;100000000;40001;30
1867;10;STONE;100000000;50000;1
1868;10;STONE;100000000;50000;15
1869;10;STONE;100000000;50000;30
1870;10;STONE;100000000;60000;1
1871;10;STONE;100000000;60000;15
1872;10;STONE;100000000;60000;30
1873;10;STONE;200000000;40001;1
1874;10;STONE;200000000;40001;15
1875;10;STONE;200000000;40001;30
1876;10;STONE;200000000;50000;1
1877;10;STONE;200000000;50000;15
1878;10;STONE;200000000;50000;30
1879;10;STONE;200000000;60000;1
1880;10;STONE;200000000;60000;15
1881;10;STONE;200000000;60000;30
1882;10;STONE;300000000;40001;1
1883;10;STONE;300000000;40001;15
1884;10;STONE;300000000;40001;30
1885;10;STONE;300000000;50000;1
1886;10;STONE;300000000;50000;15
1887;10;STONE;300000000;50000;30
1888;10;STONE;300000000;60000;1
1889;10;STONE;300000000;60000;15
1890;10;STONE;300000000;60000;30
1891;10;STONE;100000000;40001;31
1892;10;STONE;100000000;40001;45
1893;10;STONE;100000000;40001;60
1894;10;STONE;100000000;50000;31
1895;10;STONE;100000000;50000;45
1896;10;STONE;100000000;50000;60
1897;10;STONE;100000000;60000;31
1898;10;STONE;100000000;60000;45
1899;10;STONE;100000000;60000;60
1900;10;STONE;200000000;40001;31
1901;10;STONE;200000000;40001;45
1902;10;STONE;200000000;40001;60
1903;10;STONE;200000000;50000;31
1904;10;STONE;200000000;50000;45
1905;10;STONE;200000000;50000;60
1906;10;STONE;200000000;60000;31
1907;10;STONE;200000000;60000;45
1908;10;STONE;200000000;60000;60
1909;10;STONE;300000000;40001;31
1910;10;STONE;300000000;40001;45
1911;10;STONE;300000000;40001;60
1912;10;STONE;300000000;50000;31
1913;10;STONE;300000000;50000;45
1914;10;STONE;300000000;50000;60
1915;10;STONE;300000000;60000;31
1916;10;STONE;300000000;60000;45
1917;10;STONE;300000000;60000;60
1918;10;STONE;100000000;40001;61
1919;10;STONE;100000000;40001;75
1920;10;STONE;100000000;40001;90
1921;10;STONE;100000000;50000;61
1922;10;STONE;100000000;50000;75
1923;10;STONE;100000000;50000;90
1924;10;STONE;100000000;60000;61
1925;10;STONE;100000000;60000;75
1926;10;STONE;100000000;60000;90
1927;10;STONE;200000000;40001;61
1928;10;STONE;200000000;40001;75
1929;10;STONE;200000000;40001;90
1930;10;STONE;200000000;50000;61
1931;10;STONE;200000000;50000;75
1932;10;STONE;200000000;50000;90
1933;10;STONE;200000000;60000;61
1934;10;STONE;200000000;60000;75
1935;10;STONE;200000000;60000;90
1936;10;STONE;300000000;40001;61
1937;10;STONE;300000000;40001;75
1938;10;STONE;300000000;40001;90
1939;10;STONE;300000000;50000;61
1940;10;STONE;300000000;50000;75
1941;10;STONE;300000000;50000;90
1942;10;STONE;300000000;60000;61
1943;10;STONE;300000000;60000;75
1944;10;STONE;300000000;60000;90
1945;10;STONE_IRON;20;1;1
1946;10;STONE_IRON;20;1;15
1947;10;STONE_IRON;20;1;30
1948;10;STONE_IRON;20;10000;1
1949;10;STONE_IRON;20;10000;15
1950;10;STONE_IRON;20;10000;30
1951;10;STONE_IRON;20;20000;1
1952;10;STONE_IRON;20;20000;15
1953;10;STONE_IRON;20;20000;30
1954;10;STONE_IRON;510;1;1
1955;10;STONE_IRON;510;1;15
1956;10;STONE_IRON;510;1;30
1957;10;STONE_IRON;510;10000;1
1958;10;STONE_IRON;510;10000;15
1959;10;STONE_IRON;510;10000;30
1960;10;STONE_IRON;510;20000;1
1961;10;STONE_IRON;510;20000;15
1962;10;STONE_IRON;510;20000;30
1963;10;STONE_IRON;1000;1;1
1964;10;STONE_IRON;1000;1;15
1965;10;STONE_IRON;1000;1;30
1966;10;STONE_IRON;1000;10000;1
1967;10;STONE_IRON;1000;10000;15
1968;10;STONE_IRON;1000;10000;30
1969;10;STONE_IRON;1000;20000;1
1970;10;STONE_IRON;1000;20000;15
1971;10;STONE_IRON;1000;20000;30
1972;10;STONE_IRON;20;1;31
1973;10;STONE_IRON;20;1;45
1974;10;STONE_IRON;20;1;60
1975;10;STONE_IRON;20;10000;31
1976;10;STONE_IRON;20;10000;45
1977;10;STONE_IRON;20;10000;60
1978;10;STONE_IRON;20;20000;31
1979;10;STONE_IRON;20;20000;45
1980;10;STONE_IRON;20;20000;60
1981;10;STONE_IRON;510;1;31
1982;10;STONE_IRON;510;1;45
1983;10;STONE_IRON;510;1;60
1984;10;STONE_IRON;510;10000;31
1985;10;STONE_IRON;510;10000;45
1986;10;STONE_IRON;510;10000;60
1987;10;STONE_IRON;510;20000;31
1988;10;STONE_IRON;510;20000;45
1989;10;STONE_IRON;510;20000;60
1990;10;STONE_IRON;1000;1;31
1991;10;STONE_IRON;1000;1;45
1992;10;STONE_IRON;1000;1;60
1993;10;STONE_IRON;1000;10000;31
1994;10;STONE_IRON;1000;10000;45
1995;10;STONE_IRON;1000;10000;60
1996;10;STONE_IRON;1000;20000;31
1997;10;STONE_IRON;1000;20000;45
1998;10;STONE_IRON;1000;20000;60
1999;10;STONE_IRON;20;1;61
2000;10;STONE_IRON;20;1;75
2001;10;STONE_IRON;20;1;90
2002;10;STONE_IRON;20;10000;61
2003;10;STONE_IRON;20;10000;75
2004;10;STONE_IRON;20;10000;90
2005;10;STONE_IRON;20;20000;61
2006;10;STONE_IRON;20;20000;75
2007;10;STONE_IRON;20;20000;90
2008;10;STONE_IRON;510;1;61
2009;10;STONE_IRON;510;1;75
2010;10;STONE_IRON;510;1;90
2011;10;STONE_IRON;510;10000;61
2012;10;STONE_IRON;510;10000;75
2013;10;STONE_IRON;510;10000;90
2014;10;STONE_IRON;510;20000;61
2015;10;STONE_IRON;510;20000;75
2016;10;STONE_IRON;510;20000;90
2017;10;STONE_IRON;1000;1;61
2018;10;STONE_IRON;1000;1;75
2019;10;STONE_IRON;1000;1;90
2020;10;STONE_IRON;1000;10000;61
2021;10;STONE_IRON;1000;10000;75
2022;10;STONE_IRON;1000;10000;90
2023;10;STONE_IRON;1000;20000;61
2024;10;STONE_IRON;1000;20000;75
2025;10;STONE_IRON;1000;20000;90
2026;10;STONE_IRON;20;20001;1
2027;10;STONE_IRON;20;20001;15
2028;10;STONE_IRON;20;20001;30
2029;10;STONE_IRON;20;30000;1
2030;10;STONE_IRON;20;30000;15
2031;10;STONE_IRON;20;30000;30
2032;10;STONE_IRON;20;40000;1
2033;10;STONE_IRON;20;40000;15
2034;10;STONE_IRON;20;40000;30
2035;10;STONE_IRON;510;20001;1
2036;10;STONE_IRON;510;20001;15
2037;10;STONE_IRON;510;20001;30
2038;10;STONE_IRON;510;30000;1
2039;10;STONE_IRON;510;30000;15
2040;10;STONE_IRON;510;30000;30
2041;10;STONE_IRON;510;40000;1
2042;10;STONE_IRON;510;40000;15
2043;10;STONE_IRON;510;40000;30
2044;10;STONE_IRON;1000;20001;1
2045;10;STONE_IRON;1000;20001;15
2046;10;STONE_IRON;1000;20001;30
2047;10;STONE_IRON;1000;30000;1
2048;10;STONE_IRON;1000;30000;15
2049;10;STONE_IRON;1000;30000;30
2050;10;STONE_IRON;1000;40000;1
2051;10;STONE_IRON;1000;40000;15
2052;10;STONE_IRON;1000;40000;30
2053;10;STONE_IRON;20;20001;31
2054;10;STONE_IRON;20;20001;45
2055;10;STONE_IRON;20;20001;60
2056;10;STONE_IRON;20;30000;31
2057;10;STONE_IRON;20;30000;45
2058;10;STONE_IRON;20;30000;60
2059;10;STONE_IRON;20;40000;31
2060;10;STONE_IRON;20;40000;45
2061;10;STONE_IRON;20;40000;60
2062;10;STONE_IRON;510;20001;31
2063;10;STONE_IRON;510;20001;45
2064;10;STONE_IRON;510;20001;60
2065;10;STONE_IRON;510;30000;31
2066;10;STONE_IRON;510;30000;45
2067;10;STONE_IRON;510;30000;60
2068;10;STONE_IRON;510;40000;31
2069;10;STONE_IRON;510;40000;45
2070;10;STONE_IRON;510;40000;60
2071;10;STONE_IRON;1000;20001;31
2072;10;STONE_IRON;1000;20001;45
2073;10;STONE_IRON;1000;20001;60
2074;10;STONE_IRON;1000;30000;31
2075;10;STONE_IRON;1000;30000;45
2076;10;STONE_IRON;1000;30000;60
2077;10;STONE_IRON;1000;40000;31
2078;10;STONE_IRON;1000;40000;45
2079;10;STONE_IRON;1000;40000;60
2080;10;STONE_IRON;20;20001;61
2081;10;STONE_IRON;20;20001;75
2082;10;STONE_IRON;20;20001;90
2083;10;STONE_IRON;20;30000;61
2084;10;STONE_IRON;20;30000;75
2085;10;STONE_IRON;20;30000;90
2086;10;STONE_IRON;20;40000;61
2087;10;STONE_IRON;20;40000;75
2088;10;STONE_IRON;20;40000;90
2089;10;STONE_IRON;510;20001;61
2090;10;STONE_IRON;510;20001;75
2091;10;STONE_IRON;510;20001;90
2092;10;STONE_IRON;510;30000;61
2093;10;STONE_IRON;510;30000;75
2094;10;STONE_IRON;510;30000;90
2095;10;STONE_IRON;510;40000;61
2096;10;STONE_IRON;510;40000;75
2097;10;STONE_IRON;510;40000;90
2098;10;STONE_IRON;1000;20001;61
2099;10;STONE_IRON;1000;20001;75
2100;10;STONE_IRON;1000;20001;90
2101;10;STONE_IRON;1000;30000;61
2102;10;STONE_IRON;1000;30000;75
2103;10;STONE_IRON;1000;30000;90
2104;10;STONE_IRON;1000;40000;61
2105;10;STONE_IRON;1000;40000;75
2106;10;STONE_IRON;1000;40000;90
2107;10;STONE_IRON;20;40001;1
2108;10;STONE_IRON;20;40001;15
2109;10;STONE_IRON;20;40001;30
2110;10;STONE_IRON;20;50000;1
2111;10;STONE_IRON;20;50000;15
2112;10;STONE_IRON;20;50000;30
2113;10;STONE_IRON;20;60000;1
2114;10;STONE_IRON;20;60000;15
2115;10;STONE_IRON;20;60000;30
2116;10;STONE_IRON;510;40001;1
2117;10;STONE_IRON;510;40001;15
2118;10;STONE_IRON;510;40001;30
2119;10;STONE_IRON;510;50000;1
2120;10;STONE_IRON;510;50000;15
2121;10;STONE_IRON;510;50000;30
2122;10;STONE_IRON;510;60000;1
2123;10;STONE_IRON;510;60000;15
2124;10;STONE_IRON;510;60000;30
2125;10;STONE_IRON;1000;40001;1
2126;10;STONE_IRON;1000;40001;15
2127;10;STONE_IRON;1000;40001;30
2128;10;STONE_IRON;1000;50000;1
2129;10;STONE_IRON;1000;50000;15
2130;10;STONE_IRON;1000;50000;30
2131;10;STONE_IRON;1000;60000;1
2132;10;STONE_IRON;1000;60000;15
2133;10;STONE_IRON;1000;60000;30
2134;10;STONE_IRON;20;40001;31
2135;10;STONE_IRON;20;40001;45
2136;10;STONE_IRON;20;40001;60
2137;10;STONE_IRON;20;50000;31
2138;10;STONE_IRON;20;50000;45
2139;10;STONE_IRON;20;50000;60
2140;10;STONE_IRON;20;60000;31
2141;10;STONE_IRON;20;60000;45
2142;10;STONE_IRON;20;60000;60
2143;10;STONE_IRON;510;40001;31
2144;10;STONE_IRON;510;40001;45
2145;10;STONE_IRON;510;40001;60
2146;10;STONE_IRON;510;50000;31
2147;10;STONE_IRON;510;50000;45
2148;10;STONE_IRON;510;50000;60
2149;10;STONE_IRON;510;60000;31
2150;10;STONE_IRON;510;60000;45
2151;10;STONE_IRON;510;60000;60
2152;10;STONE_IRON;1000;40001;31
2153;10;STONE_IRON;1000;40001;45
2154;10;STONE_IRON;1000;40001;60
2155;10;STONE_IRON;1000;50000;31
2156;10;STONE_IRON;1000;50000;45
2157;10;STONE_IRON;1000;50000;60
2158;10;STONE_IRON;1000;60000;31
2159;10;STONE_IRON;1000;60000;45
2160;10;STONE_IRON;1000;60000;60
2161;10;STONE_IRON;20;40001;61
2162;10;STONE_IRON;20;40001;75
2163;10;STONE_IRON;20;40001;90
2164;10;STONE_IRON;20;50000;61
2165;10;STONE_IRON;20;50000;75
2166;10;STONE_IRON;20;50000;90
2167;10;STONE_IRON;20;60000;61
2168;10;STONE_IRON;20;60000;75
2169;10;STONE_IRON;20;60000;90
2170;10;STONE_IRON;510;40001;61
2171;10;STONE_IRON;510;40001;75
2172;10;STONE_IRON;510;40001;90
2173;10;STONE_IRON;510;50000;61
2174;10;STONE_IRON;510;50000;75
2175;10;STONE_IRON;510;50000;90
2176;10;STONE_IRON;510;60000;61
2177;10;STONE_IRON;510;60000;75
2178;10;STONE_IRON;510;60000;90
2179;10;STONE_IRON;1000;40001;61
2180;10;STONE_IRON;1000;40001;75
2181;10;STONE_IRON;1000;40001;90
2182;10;STONE_IRON;1000;50000;61
2183;10;STONE_IRON;1000;50000;75
2184;10;STONE_IRON;1000;50000;90
2185;10;STONE_IRON;1000;60000;61
2186;10;STONE_IRON;1000;60000;75
2187;10;STONE_IRON;1000;60000;90
2188;10;STONE_IRON;1001;1;1
2189;10;STONE_IRON;1001;1;15
2190;10;STONE_IRON;1001;1;30
2191;10;STONE_IRON;1001;10000;1
2192;10;STONE_IRON;1001;10000;15
2193;10;STONE_IRON;1001;10000;30
2194;10;STONE_IRON;1001;20000;1
2195;10;STONE_IRON;1001;20000;15
2196;10;STONE_IRON;1001;20000;30
2197;10;STONE_IRON;2500;1;1
2198;10;STONE_IRON;2500;1;15
2199;10;STONE_IRON;2500;1;30
2200;10;STONE_IRON;2500;10000;1
2201;10;STONE_IRON;2500;10000;15
2202;10;STONE_IRON;2500;10000;30
2203;10;STONE_IRON;2500;20000;1
2204;10;STONE_IRON;2500;20000;15
2205;10;STONE_IRON;2500;20000;30
2206;10;STONE_IRON;4000;1;1
2207;10;STONE_IRON;4000;1;15
2208;10;STONE_IRON;4000;1;30
2209;10;STONE_IRON;4000;10000;1
2210;10;STONE_IRON;4000;10000;15
2211;10;STONE_IRON;4000;10000;30
2212;10;STONE_IRON;4000;20000;1
2213;10;STONE_IRON;4000;20000;15
2214;10;STONE_IRON;4000;20000;30
2215;10;STONE_IRON;1001;1;31
2216;10;STONE_IRON;1001;1;45
2217;10;STONE_IRON;1001;1;60
2218;10;STONE_IRON;1001;10000;31
2219;10;STONE_IRON;1001;10000;45
2220;10;STONE_IRON;1001;10000;60
2221;10;STONE_IRON;1001;20000;31
2222;10;STONE_IRON;1001;20000;45
2223;10;STONE_IRON;1001;20000;60
2224;10;STONE_IRON;2500;1;31
2225;10;STONE_IRON;2500;1;45
2226;10;STONE_IRON;2500;1;60
2227;10;STONE_IRON;2500;10000;31
2228;10;STONE_IRON;2500;10000;45
2229;10;STONE_IRON;2500;10000;60
2230;10;STONE_IRON;2500;20000;31
2231;10;STONE_IRON;2500;20000;45
2232;10;STONE_IRON;2500;20000;60
2233;10;STONE_IRON;4000;1;31
2234;10;STONE_IRON;4000;1;45
2235;10;STONE_IRON;4000;1;60
2236;10;STONE_IRON;4000;10000;31
2237;10;STONE_IRON;4000;10000;45
2238;10;STONE_IRON;4000;10000;60
2239;10;STONE_IRON;4000;20000;31
2240;10;STONE_IRON;4000;20000;45
2241;10;STONE_IRON;4000;20000;60
2242;10;STONE_IRON;1001;1;61
2243;10;STONE_IRON;1001;1;75
2244;10;STONE_IRON;1001;1;90
2245;10;STONE_IRON;1001;10000;61
2246;10;STONE_IRON;1001;10000;75
2247;10;STONE_IRON;1001;10000;90
2248;10;STONE_IRON;1001;20000;61
2249;10;STONE_IRON;1001;20000;75
2250;10;STONE_IRON;1001;20000;90
2251;10;STONE_IRON;2500;1;61
2252;10;STONE_IRON;2500;1;75
2253;10;STONE_IRON;2500;1;90
2254;10;STONE_IRON;2500;10000;61
2255;10;STONE_IRON;2500;10000;75
2256;10;STONE_IRON;2500;10000;90
2257;10;STONE_IRON;2500;20000;61
2258;10;STONE_IRON;2500;20000;75
2259;10;STONE_IRON;2500;20000;90
2260;10;STONE_IRON;4000;1;61
2261;10;STONE_IRON;4000;1;75
2262;10;STONE_IRON;4000;1;90
2263;10;STONE_IRON;4000;10000;61
2264;10;STONE_IRON;4000;10000;75
2265;10;STONE_IRON;4000;10000;90
2266;10;STONE_IRON;4000;20000;61
2267;10;STONE_IRON;4000;20000;75
2268;10;STONE_IRON;4000;20000;90
2269;10;STONE_IRON;1001;20001;1
2270;10;STONE_IRON;1001;20001;15
2271;10;STONE_IRON;1001;20001;30
2272;10;STONE_IRON;1001;30000;1
2273;10;STONE_IRON;1001;30000;15
2274;10;STONE_IRON;1001;30000;30
2275;10;STONE_IRON;1001;40000;1
2276;10;STONE_IRON;1001;40000;15
2277;10;STONE_IRON;1001;40000;30
2278;10;STONE_IRON;2500;20001;1
2279;10;STONE_IRON;2500;20001;15
2280;10;STONE_IRON;2500;20001;30
2281;10;STONE_IRON;2500;30000;1
2282;10;STONE_IRON;2500;30000;15
2283;10;STONE_IRON;2500;30000;30
2284;10;STONE_IRON;2500;40000;1
2285;10;STONE_IRON;2500;40000;15
2286;10;STONE_IRON;2500;40000;30
2287;10;STONE_IRON;4000;20001;1
2288;10;STONE_IRON;4000;20001;15
2289;10;STONE_IRON;4000;20001;30
2290;10;STONE_IRON;4000;30000;1
2291;10;STONE_IRON;4000;30000;15
2292;10;STONE_IRON;4000;30000;30
2293;10;STONE_IRON;4000;40000;1
2294;10;STONE_IRON;4000;40000;15
2295;10;STONE_IRON;4000;40000;30
2296;10;STONE_IRON;1001;20001;31
2297;10;STONE_IRON;1001;20001;45
2298;10;STONE_IRON;1001;20001;60
2299;10;STONE_IRON;1001;30000;31
2300;10;STONE_IRON;1001;30000;45
2301;10;STONE_IRON;1001;30000;60
2302;10;STONE_IRON;1001;40000;31
2303;10;STONE_IRON;1001;40000;45
2304;10;STONE_IRON;1001;40000;60
2305;10;STONE_IRON;2500;20001;31
2306;10;STONE_IRON;2500;20001;45
2307;10;STONE_IRON;2500;20001;60
2308;10;STONE_IRON;2500;30000;31
2309;10;STONE_IRON;2500;30000;45
2310;10;STONE_IRON;2500;30000;60
2311;10;STONE_IRON;2500;40000;31
2312;10;STONE_IRON;2500;40000;45
2313;10;STONE_IRON;2500;40000;60
2314;10;STONE_IRON;4000;20001;31
2315;10;STONE_IRON;4000;20001;45
2316;10;STONE_IRON;4000;20001;60
2317;10;STONE_IRON;4000;30000;31
2318;10;STONE_IRON;4000;30000;45
2319;10;STONE_IRON;4000;30000;60
2320;10;STONE_IRON;4000;40000;31
2321;10;STONE_IRON;4000;40000;45
2322;10;STONE_IRON;4000;40000;60
2323;10;STONE_IRON;1001;20001;61
2324;10;STONE_IRON;1001;20001;75
2325;10;STONE_IRON;1001;20001;90
2326;10;STONE_IRON;1001;30000;61
2327;10;STONE_IRON;1001;30000;75
2328;10;STONE_IRON;1001;30000;90
2329;10;STONE_IRON;1001;40000;61
2330;10;STONE_IRON;1001;40000;75
2331;10;STONE_IRON;1001;40000;90
2332;10;STONE_IRON;2500;20001;61
2333;10;STONE_IRON;2500;20001;75
2334;10;STONE_IRON;2500;20001;90
2335;10;STONE_IRON;2500;30000;61
2336;10;STONE_IRON;2500;30000;75
2337;10;STONE_IRON;2500;30000;90
2338;10;STONE_IRON;2500;40000;61
2339;10;STONE_IRON;2500;40000;75
2340;10;STONE_IRON;2500;40000;90
2341;10;STONE_IRON;4000;20001;61
2342;10;STONE_IRON;4000;20001;75
2343;10;STONE_IRON;4000;20001;90
2344;10;STONE_IRON;4000;30000;61
2345;10;STONE_IRON;4000;30000;75
2346;10;STONE_IRON;4000;30000;90
2347;10;STONE_IRON;4000;40000;61
2348;10;STONE_IRON;4000;40000;75
2349;10;STONE_IRON;4000;40000;90
2350;10;STONE_IRON;1001;40001;1
2351;10;STONE_IRON;1001;40001;15
2352;10;STONE_IRON;1001;40001;30
2353;10;STONE_IRON;1001;50000;1
2354;10;STONE_IRON;1001;50000;15
2355;10;STONE_IRON;1001;50000;30
2356;10;STONE_IRON;1001;60000;1
2357;10;STONE_IRON;1001;60000;15
2358;10;STONE_IRON;1001;60000;30
2359;10;STONE_IRON;2500;40001;1
2360;10;STONE_IRON;2500;40001;15
2361;10;STONE_IRON;2500;40001;30
2362;10;STONE_IRON;2500;50000;1
2363;10;STONE_IRON;2500;50000;15
2364;10;STONE_IRON;2500;50000;30
2365;10;STONE_IRON;2500;60000;1
2366;10;STONE_IRON;2500;60000;15
2367;10;STONE_IRON;2500;60000;30
2368;10;STONE_IRON;4000;40001;1
2369;10;STONE_IRON;4000;40001;15
2370;10;STONE_IRON;4000;40001;30
2371;10;STONE_IRON;4000;50000;1
2372;10;STONE_IRON;4000;50000;15
2373;10;STONE_IRON;4000;50000;30
2374;10;STONE_IRON;4000;60000;1
2375;10;STONE_IRON;4000;60000;15
2376;10;STONE_IRON;4000;60000;30
2377;10;STONE_IRON;1001;40001;31
2378;10;STONE_IRON;1001;40001;45
2379;10;STONE_IRON;1001;40001;60
2380;10;STONE_IRON;1001;50000;31
2381;10;STONE_IRON;1001;50000;45
2382;10;STONE_IRON;1001;50000;60
2383;10;STONE_IRON;1001;60000;31
2384;10;STONE_IRON;1001;60000;45
2385;10;STONE_IRON;1001;60000;60
2386;10;STONE_IRON;2500;40001;31
2387;10;STONE_IRON;2500;40001;45
2388;10;STONE_IRON;2500;40001;60
2389;10;STONE_IRON;2500;50000;31
2390;10;STONE_IRON;2500;50000;45
2391;10;STONE_IRON;2500;50000;60
2392;10;STONE_IRON;2500;60000;31
2393;10;STONE_IRON;2500;60000;45
2394;10;STONE_IRON;2500;60000;60
2395;10;STONE_IRON;4000;40001;31
2396;10;STONE_IRON;4000;40001;45
2397;10;STONE_IRON;4000;40001;60
2398;10;STONE_IRON;4000;50000;31
2399;10;STONE_IRON;4000;50000;45
2400;10;STONE_IRON;4000;50000;60
2401;10;STONE_IRON;4000;60000;31
2402;10;STONE_IRON;4000;60000;45
2403;10;STONE_IRON;4000;60000;60
2404;10;STONE_IRON;1001;40001;61
2405;10;STONE_IRON;1001;40001;75
2406;10;STONE_IRON;1001;40001;90
2407;10;STONE_IRON;1001;50000;61
2408;10;STONE_IRON;1001;50000;75
2409;10;STONE_IRON;1001;50000;90
2410;10;STONE_IRON;1001;60000;61
2411;10;STONE_IRON;1001;60000;75
2412;10;STONE_IRON;1001;60000;90
2413;10;STONE_IRON;2500;40001;61
2414;10;STONE_IRON;2500;40001;75
2415;10;STONE_IRON;2500;40001;90
2416;10;STONE_IRON;2500;50000;61
2417;10;STONE_IRON;2500;50000;75
2418;10;STONE_IRON;2500;50000;90
2419;10;STONE_IRON;2500;60000;61
2420;10;STONE_IRON;2500;60000;75
2421;10;STONE_IRON;2500;60000;90
2422;10;STONE_IRON;4000;40001;61
2423;10;STONE_IRON;4000;40001;75
2424;10;STONE_IRON;4000;40001;90
2425;10;STONE_IRON;4000;50000;61
2426;10;STONE_IRON;4000;50000;75
2427;10;STONE_IRON;4000;50000;90
2428;10;STONE_IRON;4000;60000;61
2429;10;STONE_IRON;4000;60000;75
2430;10;STONE_IRON;4000;60000;90
2431;10;STONE_IRON;100000000;20001;1
2432;10;STONE_IRON;100000000;20001;15
2433;10;STONE_IRON;100000000;20001;30
2434;10;STONE_IRON;100000000;30000;1
2435;10;STONE_IRON;100000000;30000;15
2436;10;STONE_IRON;100000000;30000;30
2437;10;STONE_IRON;100000000;40000;1
2438;10;STONE_IRON;100000000;40000;15
2439;10;STONE_IRON;100000000;40000;30
2440;10;STONE_IRON;200000000;20001;1
2441;10;STONE_IRON;200000000;20001;15
2442;10;STONE_IRON;200000000;20001;30
2443;10;STONE_IRON;200000000;30000;1
2444;10;STONE_IRON;200000000;30000;15
2445;10;STONE_IRON;200000000;30000;30
2446;10;STONE_IRON;200000000;40000;1
2447;10;STONE_IRON;200000000;40000;15
2448;10;STONE_IRON;200000000;40000;30
2449;10;STONE_IRON;300000000;20001;1
2450;10;STONE_IRON;300000000;20001;15
2451;10;STONE_IRON;300000000;20001;30
2452;10;STONE_IRON;300000000;30000;1
2453;10;STONE_IRON;300000000;30000;15
2454;10;STONE_IRON;300000000;30000;30
2455;10;STONE_IRON;300000000;40000;1
2456;10;STONE_IRON;300000000;40000;15
2457;10;STONE_IRON;300000000;40000;30
2458;10;STONE_IRON;100000000;20001;31
2459;10;STONE_IRON;100000000;20001;45
2460;10;STONE_IRON;100000000;20001;60
2461;10;STONE_IRON;100000000;30000;31
2462;10;STONE_IRON;100000000;30000;45
2463;10;STONE_IRON;100000000;30000;60
2464;10;STONE_IRON;100000000;40000;31
2465;10;STONE_IRON;100000000;40000;45
2466;10;STONE_IRON;100000000;40000;60
2467;10;STONE_IRON;200000000;20001;31
2468;10;STONE_IRON;200000000;20001;45
2469;10;STONE_IRON;200000000;20001;60
2470;10;STONE_IRON;200000000;30000;31
2471;10;STONE_IRON;200000000;30000;45
2472;10;STONE_IRON;200000000;30000;60
2473;10;STONE_IRON;200000000;40000;31
2474;10;STONE_IRON;200000000;40000;45
2475;10;STONE_IRON;200000000;40000;60
2476;10;STONE_IRON;300000000;20001;31
2477;10;STONE_IRON;300000000;20001;45
2478;10;STONE_IRON;300000000;20001;60
2479;10;STONE_IRON;300000000;30000;31
2480;10;STONE_IRON;300000000;30000;45
2481;10;STONE_IRON;300000000;30000;60
2482;10;STONE_IRON;300000000;40000;31
2483;10;STONE_IRON;300000000;40000;45
2484;10;STONE_IRON;300000000;40000;60
2485;10;STONE_IRON;100000000;20001;61
2486;10;STONE_IRON;100000000;20001;75
2487;10;STONE_IRON;100000000;20001;90
2488;10;STONE_IRON;100000000;30000;61
2489;10;STONE_IRON;100000000;30000;75
2490;10;STONE_IRON;100000000;30000;90
2491;10;STONE_IRON;100000000;40000;61
2492;10;STONE_IRON;100000000;40000;75
2493;10;STONE_IRON;100000000;40000;90
2494;10;STONE_IRON;200000000;20001;61
2495;10;STONE_IRON;200000000;20001;75
2496;10;STONE_IRON;200000000;20001;90
2497;10;STONE_IRON;200000000;30000;61
2498;10;STONE_IRON;200000000;30000;75
2499;10;STONE_IRON;200000000;30000;90
2500;10;STONE_IRON;200000000;40000;61
2501;10;STONE_IRON;200000000;40000;75
2502;10;STONE_IRON;200000000;40000;90
2503;10;STONE_IRON;300000000;20001;61
2504;10;STONE_IRON;300000000;20001;75
2505;10;STONE_IRON;300000000;20001;90
2506;10;STONE_IRON;300000000;30000;61
2507;10;STONE_IRON;300000000;30000;75
2508;10;STONE_IRON;300000000;30000;90
2509;10;STONE_IRON;300000000;40000;61
2510;10;STONE_IRON;300000000;40000;75
2511;10;STONE_IRON;300000000;40000;90
2512;10;STONE_IRON;100000000;40001;1
2513;10;STONE_IRON;100000000;40001;15
2514;10;STONE_IRON;100000000;40001;30
2515;10;STONE_IRON;100000000;50000;1
2516;10;STONE_IRON;100000000;50000;15
2517;10;STONE_IRON;100000000;50000;30
2518;10;STONE_IRON;100000000;60000;1
2519;10;STONE_IRON;100000000;60000;15
2520;10;STONE_IRON;100000000;60000;30
2521;10;STONE_IRON;200000000;40001;1
2522;10;STONE_IRON;200000000;40001;15
2523;10;STONE_IRON;200000000;40001;30
2524;10;STONE_IRON;200000000;50000;1
2525;10;STONE_IRON;200000000;50000;15
